expName	subject	pairs	block	trial	condition	rating	rt	correct	picName	timestamp
Discrimination_LookAtMe1.2	51	2	1	1	3	3	4.215490810573101	True	stim\5 F053C + F048C.jpg	2019-03-21 10:45:00
Discrimination_LookAtMe1.2	51	2	1	2	1	1	0.8479235172271729	True	stim\3 M078C + M057C.jpg	2019-03-21 10:45:10
Discrimination_LookAtMe1.2	51	2	1	3	4	4	0.9153127521276474	True	stim\6 F053C.jpg	2019-03-21 10:45:20
Discrimination_LookAtMe1.2	51	2	1	4	2	2	1.0284922923892736	True	stim\4 M078C.jpg	2019-03-21 10:45:30
Discrimination_LookAtMe1.2	51	2	1	5	1	1	4.136815652251244	True	stim\3 M078C + M057C.jpg	2019-03-21 10:45:43
Discrimination_LookAtMe1.2	51	2	1	6	4	4	0.7405132856220007	True	stim\6 F053C.jpg	2019-03-21 10:45:53
Discrimination_LookAtMe1.2	51	2	1	7	3	4	1.5012184027582407	False	stim\5 F053C + F048C.jpg	2019-03-21 10:46:03
Discrimination_LookAtMe1.2	51	2	1	8	2	2	1.0507747903466225	True	stim\4 M078C.jpg	2019-03-21 10:46:14
Discrimination_LookAtMe1.2	51	2	1	9	1	1	0.7305443175137043	True	stim\3 M078C + M057C.jpg	2019-03-21 10:46:23
Discrimination_LookAtMe1.2	51	2	1	10	3	3	0.7118716575205326	True	stim\5 F053C + F048C.jpg	2019-03-21 10:46:33
Discrimination_LookAtMe1.2	51	2	1	11	2	2	0.5880431886762381	True	stim\4 M078C.jpg	2019-03-21 10:46:43
Discrimination_LookAtMe1.2	51	2	1	12	4	4	0.5810981430113316	True	stim\6 F053C.jpg	2019-03-21 10:46:52
Discrimination_LookAtMe1.2	51	2	1	13	2	2	0.620537132024765	True	stim\4 M078C.jpg	2019-03-21 10:47:02
Discrimination_LookAtMe1.2	51	2	1	14	1	1	0.5951255485415459	True	stim\3 M078C + M057C.jpg	2019-03-21 10:47:12
Discrimination_LookAtMe1.2	51	2	1	15	4	3	0.7093888819217682	False	stim\6 F053C.jpg	2019-03-21 10:47:22
Discrimination_LookAtMe1.2	51	2	1	16	3	3	0.5628635678440332	True	stim\5 F053C + F048C.jpg	2019-03-21 10:47:31
Discrimination_LookAtMe1.2	51	2	1	17	3	4	0.7845954243093729	False	stim\5 F053C + F048C.jpg	2019-03-21 10:47:41
Discrimination_LookAtMe1.2	51	2	1	18	1	1	1.5995370354503393	True	stim\3 M078C + M057C.jpg	2019-03-21 10:47:52
Discrimination_LookAtMe1.2	51	2	1	19	2	2	0.41262625716626644	True	stim\4 M078C.jpg	2019-03-21 10:48:01
Discrimination_LookAtMe1.2	51	2	1	20	4	3	0.7937471158802509	False	stim\6 F053C.jpg	2019-03-21 10:48:11
Discrimination_LookAtMe1.2	51	2	1	1	3	3	0.27938018180429935	True	stim\5 F053C + F048C.jpg	2019-03-21 10:49:09
Discrimination_LookAtMe1.2	51	2	1	2	1	1	0.5870375167578459	True	stim\3 M078C + M057C.jpg	2019-03-21 10:49:19
Discrimination_LookAtMe1.2	51	2	1	3	4	4	0.4381997939199209	True	stim\6 F053C.jpg	2019-03-21 10:49:28
Discrimination_LookAtMe1.2	51	2	1	4	2	2	0.7165731005370617	True	stim\4 M078C.jpg	2019-03-21 10:49:38
Discrimination_LookAtMe1.2	51	2	1	5	3	3	0.442543376237154	True	stim\5 F053C + F048C.jpg	2019-03-21 10:49:47
Discrimination_LookAtMe1.2	51	2	1	6	1	1	0.4095164015889168	True	stim\3 M078C + M057C.jpg	2019-03-21 10:49:57
Discrimination_LookAtMe1.2	51	2	1	7	2	2	0.8173453658819199	True	stim\4 M078C.jpg	2019-03-21 10:50:07
Discrimination_LookAtMe1.2	51	2	1	8	4	4	0.3350396975874901	True	stim\6 F053C.jpg	2019-03-21 10:50:16
Discrimination_LookAtMe1.2	51	2	1	9	3	3	0.7330276947468519	True	stim\5 F053C + F048C.jpg	2019-03-21 10:50:26
Discrimination_LookAtMe1.2	51	2	1	10	2	2	0.4836391508579254	True	stim\4 M078C.jpg	2019-03-21 10:50:36
Discrimination_LookAtMe1.2	51	2	1	11	1	1	0.4987410344183445	True	stim\3 M078C + M057C.jpg	2019-03-21 10:50:45
Discrimination_LookAtMe1.2	51	2	1	12	4	4	0.6261802427470684	True	stim\6 F053C.jpg	2019-03-21 10:50:55
Discrimination_LookAtMe1.2	51	2	1	13	4	4	1.9725960064679384	True	stim\6 F053C.jpg	2019-03-21 10:51:06
Discrimination_LookAtMe1.2	51	2	1	14	1	1	0.6195618081837893	True	stim\3 M078C + M057C.jpg	2019-03-21 10:51:16
Discrimination_LookAtMe1.2	51	2	1	15	2	2	0.796710642054677	True	stim\4 M078C.jpg	2019-03-21 10:51:25
Discrimination_LookAtMe1.2	51	2	1	16	3	3	0.5798166412860155	True	stim\5 F053C + F048C.jpg	2019-03-21 10:51:35
Discrimination_LookAtMe1.2	51	2	1	17	2	2	0.6732457410544157	True	stim\4 M078C.jpg	2019-03-21 10:51:45
Discrimination_LookAtMe1.2	51	2	1	18	1	1	0.7054578438401222	True	stim\3 M078C + M057C.jpg	2019-03-21 10:51:55
Discrimination_LookAtMe1.2	51	2	1	19	3	3	0.5988982394337654	True	stim\5 F053C + F048C.jpg	2019-03-21 10:52:04
Discrimination_LookAtMe1.2	51	2	1	20	4	4	0.4113657884299755	True	stim\6 F053C.jpg	2019-03-21 10:52:14
