expName	subject	pairs	cs1	cs2	block	trial	condition	rating	rt	shock	picName	timestamp
LookAtMe1.2	48	2	1	1	1	1	31	4	1.1554312212392688	False	stim\6 F053C.jpg	2019-02-21 15:32:18
LookAtMe1.2	48	2	1	1	1	2	36	3	0.6482902700081468	False	stim\5 F053C + F048C.jpg	2019-02-21 15:32:26
LookAtMe1.2	48	2	1	1	1	3	26	3	0.827778859063983	False	stim\3 M078C + M057C.jpg	2019-02-21 15:32:35
LookAtMe1.2	48	2	1	1	1	4	21	3	1.014085995964706	False	stim\4 M078C.jpg	2019-02-21 15:32:44
LookAtMe1.2	48	2	1	1	1	5	31	2	0.5321925720199943	False	stim\6 F053C.jpg	2019-02-21 15:32:52
LookAtMe1.2	48	2	1	1	1	6	21	3	0.5090777762234211	False	stim\4 M078C.jpg	2019-02-21 15:33:01
LookAtMe1.2	48	2	1	1	1	7	26	2	0.4747037971392274	False	stim\3 M078C + M057C.jpg	2019-02-21 15:33:09
LookAtMe1.2	48	2	1	1	1	8	36	2	0.5592768667265773	False	stim\5 F053C + F048C.jpg	2019-02-21 15:33:18
LookAtMe1.2	48	2	1	1	1	9	21	2	0.5888235066086054	False	stim\4 M078C.jpg	2019-02-21 15:33:28
LookAtMe1.2	48	2	1	1	1	10	26	2	0.5153431594371796	False	stim\3 M078C + M057C.jpg	2019-02-21 15:33:36
LookAtMe1.2	48	2	1	1	1	11	36	3	0.5905199563130736	False	stim\5 F053C + F048C.jpg	2019-02-21 15:33:46
LookAtMe1.2	48	2	1	1	1	12	31	3	0.4756133183836937	False	stim\6 F053C.jpg	2019-02-21 15:33:56
LookAtMe1.2	48	2	1	1	1	13	26	1	0.5389239834621549	False	stim\3 M078C + M057C.jpg	2019-02-21 15:34:04
LookAtMe1.2	48	2	1	1	1	14	31	3	0.5742411343380809	False	stim\6 F053C.jpg	2019-02-21 15:34:14
LookAtMe1.2	48	2	1	1	1	15	36	2	0.5177138624712825	False	stim\5 F053C + F048C.jpg	2019-02-21 15:34:23
LookAtMe1.2	48	2	1	1	1	16	21	1	0.5126097910106182	False	stim\4 M078C.jpg	2019-02-21 15:34:32
LookAtMe1.2	48	2	1	1	1	17	26	1	0.5908976458013058	True	stim\3 M078C + M057C.jpg	2019-02-21 15:34:41
LookAtMe1.2	48	2	1	1	1	18	31	3	0.824939725920558	False	stim\6 F053C.jpg	2019-02-21 15:34:50
LookAtMe1.2	48	2	1	1	1	19	21	4	0.7452516844496131	False	stim\4 M078C.jpg	2019-02-21 15:34:58
LookAtMe1.2	48	2	1	1	1	20	36	3	0.5861733686178923	True	stim\5 F053C + F048C.jpg	2019-02-21 15:35:08
LookAtMe1.2	48	2	1	1	1	21	31	3	0.5153717044740915	False	stim\6 F053C.jpg	2019-02-21 15:35:18
LookAtMe1.2	48	2	1	1	1	22	36	4	0.5195710621774197	True	stim\5 F053C + F048C.jpg	2019-02-21 15:35:27
LookAtMe1.2	48	2	1	1	1	23	26	4	0.6640964522957802	True	stim\3 M078C + M057C.jpg	2019-02-21 15:35:36
LookAtMe1.2	48	2	1	1	1	24	21	2	0.5486264359205961	False	stim\4 M078C.jpg	2019-02-21 15:35:45
LookAtMe1.2	48	2	1	1	1	25	26	5	0.5019335187971592	False	stim\3 M078C + M057C.jpg	2019-02-21 15:35:55
LookAtMe1.2	48	2	1	1	1	26	36	4	0.4820959409698844	True	stim\5 F053C + F048C.jpg	2019-02-21 15:36:05
LookAtMe1.2	48	2	1	1	1	27	31	2	0.5985914599150419	False	stim\6 F053C.jpg	2019-02-21 15:36:13
LookAtMe1.2	48	2	1	1	1	28	21	2	0.5585061628371477	False	stim\4 M078C.jpg	2019-02-21 15:36:21
LookAtMe1.2	48	2	1	1	1	29	31	2	0.4949536193162203	False	stim\6 F053C.jpg	2019-02-21 15:36:29
LookAtMe1.2	48	2	1	1	1	30	21	2	0.5624378034844995	False	stim\4 M078C.jpg	2019-02-21 15:36:38
LookAtMe1.2	48	2	1	1	1	31	26	5	0.5774035742506385	True	stim\3 M078C + M057C.jpg	2019-02-21 15:36:47
LookAtMe1.2	48	2	1	1	1	32	36	5	0.7804720848798752	False	stim\5 F053C + F048C.jpg	2019-02-21 15:36:56
LookAtMe1.2	48	2	1	1	1	33	21	2	0.6096334028989077	False	stim\4 M078C.jpg	2019-02-21 15:37:06
LookAtMe1.2	48	2	1	1	1	34	36	4	0.5844594920054078	True	stim\5 F053C + F048C.jpg	2019-02-21 15:37:14
LookAtMe1.2	48	2	1	1	1	35	26	5	0.4949127556756139	True	stim\3 M078C + M057C.jpg	2019-02-21 15:37:23
LookAtMe1.2	48	2	1	1	1	36	31	1	0.4910333976149559	False	stim\6 F053C.jpg	2019-02-21 15:37:31
LookAtMe1.2	48	2	1	1	1	37	36	5	0.527084294706583	False	stim\5 F053C + F048C.jpg	2019-02-21 15:37:40
LookAtMe1.2	48	2	1	1	1	38	31	1	0.43162312265485525	False	stim\6 F053C.jpg	2019-02-21 15:37:48
LookAtMe1.2	48	2	1	1	1	39	26	5	0.4935991046950221	True	stim\3 M078C + M057C.jpg	2019-02-21 15:37:57
LookAtMe1.2	48	2	1	1	1	40	21	1	0.5885107181966305	False	stim\4 M078C.jpg	2019-02-21 15:38:06
LookAtMe1.2	48	2	1	1	1	41	26	5	0.40450727846473455	False	stim\3 M078C + M057C.jpg	2019-02-21 15:38:14
LookAtMe1.2	48	2	1	1	1	42	31	1	0.43059191200882196	False	stim\6 F053C.jpg	2019-02-21 15:38:23
LookAtMe1.2	48	2	1	1	1	43	36	5	0.6553476909175515	True	stim\5 F053C + F048C.jpg	2019-02-21 15:38:32
LookAtMe1.2	48	2	1	1	1	44	21	1	0.42290230467915535	False	stim\4 M078C.jpg	2019-02-21 15:38:41
LookAtMe1.2	48	2	1	1	1	45	26	4	0.7502454835921526	True	stim\3 M078C + M057C.jpg	2019-02-21 15:38:50
LookAtMe1.2	48	2	1	1	1	46	21	1	0.5215481501072645	False	stim\4 M078C.jpg	2019-02-21 15:38:59
LookAtMe1.2	48	2	1	1	1	47	36	5	0.4626525780186057	True	stim\5 F053C + F048C.jpg	2019-02-21 15:39:09
LookAtMe1.2	48	2	1	1	1	48	31	1	0.45172992162406445	False	stim\6 F053C.jpg	2019-02-21 15:39:18
LookAtMe1.2	48	2	1	1	2	49	22	3	0.6518135722726583	False	stim\morph\3&4 80.jpg	2019-02-21 15:44:18
LookAtMe1.2	48	2	1	1	2	50	26	3	0.5675352634862065	True	stim\3 M078C + M057C.jpg	2019-02-21 15:44:26
LookAtMe1.2	48	2	1	1	2	51	25	2	0.7008297154679894	False	stim\morph\3&4 20.jpg	2019-02-21 15:44:36
LookAtMe1.2	48	2	1	1	2	52	24	2	0.5935453809797764	False	stim\morph\3&4 40.jpg	2019-02-21 15:44:45
LookAtMe1.2	48	2	1	1	2	53	26	4	0.528841438703239	False	stim\3 M078C + M057C.jpg	2019-02-21 15:44:54
LookAtMe1.2	48	2	1	1	2	54	33	3	0.715519655495882	False	stim\morph\5&6 60.jpg	2019-02-21 15:45:03
LookAtMe1.2	48	2	1	1	2	55	35	3	0.7338446723297238	False	stim\morph\5&6 20.jpg	2019-02-21 15:45:12
LookAtMe1.2	48	2	1	1	2	56	23	3	0.6920298738405108	False	stim\morph\3&4 60.jpg	2019-02-21 15:45:21
LookAtMe1.2	48	2	1	1	2	57	31	3	0.6676299711689353	False	stim\6 F053C.jpg	2019-02-21 15:45:30
LookAtMe1.2	48	2	1	1	2	58	36	2	0.6618711780756712	True	stim\5 F053C + F048C.jpg	2019-02-21 15:45:40
LookAtMe1.2	48	2	1	1	2	59	21	2	0.8472459595650434	False	stim\4 M078C.jpg	2019-02-21 15:45:48
LookAtMe1.2	48	2	1	1	2	60	32	4	0.5771932452917099	False	stim\morph\5&6 80.jpg	2019-02-21 15:45:58
LookAtMe1.2	48	2	1	1	2	61	36	4	0.6019645277410746	False	stim\5 F053C + F048C.jpg	2019-02-21 15:46:08
LookAtMe1.2	48	2	1	1	2	62	34	3	0.5527026001363993	False	stim\morph\5&6 40.jpg	2019-02-21 15:46:17
LookAtMe1.2	48	2	1	1	2	63	26	2	0.4407898373901844	False	stim\3 M078C + M057C.jpg	2019-02-21 15:46:25
