expName	subject	pairs	cs1	cs2	block	trial	condition	rating	rt	shock	picName	timestamp
LookAtMe1.2	41	1	1	1	1	1	41	5	0.6927269622683525	False	stim\8 F080C + F101C.jpg	2019-02-15 10:51:55
LookAtMe1.2	41	1	1	1	1	2	46	1	0.6052738958969712	False	stim\7 F080C.jpg	2019-02-15 10:52:05
LookAtMe1.2	41	1	1	1	1	3	16	5	0.5469092531129718	False	stim\1 M024C.jpg	2019-02-15 10:52:14
LookAtMe1.2	41	1	1	1	1	4	11	1	0.38739435467869043	False	stim\2 M024C + M010C.jpg	2019-02-15 10:52:23
LookAtMe1.2	41	1	1	1	1	5	41	1	0.7799372505396605	False	stim\8 F080C + F101C.jpg	2019-02-15 10:52:33
LookAtMe1.2	41	1	1	1	1	6	11	1	0.587935920804739	False	stim\2 M024C + M010C.jpg	2019-02-15 10:52:42
LookAtMe1.2	41	1	1	1	1	7	16	1	0.5971498098224401	False	stim\1 M024C.jpg	2019-02-15 10:52:52
LookAtMe1.2	41	1	1	1	1	8	46	5	0.37482963409274817	False	stim\7 F080C.jpg	2019-02-15 10:53:00
LookAtMe1.2	41	1	1	1	1	9	11	3	0.5109671261161566	False	stim\2 M024C + M010C.jpg	2019-02-15 10:53:10
LookAtMe1.2	41	1	1	1	1	10	16	3	0.5443026823922992	False	stim\1 M024C.jpg	2019-02-15 10:53:19
LookAtMe1.2	41	1	1	1	1	11	46	3	0.5176856173202395	False	stim\7 F080C.jpg	2019-02-15 10:53:28
LookAtMe1.2	41	1	1	1	1	12	41	3	0.635464140214026	False	stim\8 F080C + F101C.jpg	2019-02-15 10:53:38
LookAtMe1.2	41	1	1	1	1	13	16	2	1.4553686035797	False	stim\1 M024C.jpg	2019-02-15 10:53:48
LookAtMe1.2	41	1	1	1	1	14	41	2	0.9768091849982738	False	stim\8 F080C + F101C.jpg	2019-02-15 10:53:57
LookAtMe1.2	41	1	1	1	1	15	46	2	0.6492421561852098	False	stim\7 F080C.jpg	2019-02-15 10:54:05
LookAtMe1.2	41	1	1	1	1	16	11	1	1.0147437239065766	False	stim\2 M024C + M010C.jpg	2019-02-15 10:54:15
LookAtMe1.2	41	1	1	1	1	17	16	1	0.6575777735561132	True	stim\1 M024C.jpg	2019-02-15 10:54:24
LookAtMe1.2	41	1	1	1	1	18	41	5	0.4707973971962929	False	stim\8 F080C + F101C.jpg	2019-02-15 10:54:33
LookAtMe1.2	41	1	1	1	1	19	11	1	0.35343352146446705	False	stim\2 M024C + M010C.jpg	2019-02-15 10:54:43
LookAtMe1.2	41	1	1	1	1	20	46	5	0.3748942343518138	True	stim\7 F080C.jpg	2019-02-15 10:54:52
LookAtMe1.2	41	1	1	1	1	21	41	1	0.46424055751413107	False	stim\8 F080C + F101C.jpg	2019-02-15 10:55:02
LookAtMe1.2	41	1	1	1	1	22	46	5	0.31912414357066154	True	stim\7 F080C.jpg	2019-02-15 10:55:12
LookAtMe1.2	41	1	1	1	1	23	16	1	0.43829113617539406	True	stim\1 M024C.jpg	2019-02-15 10:55:21
LookAtMe1.2	41	1	1	1	1	24	11	1	0.4962309142574668	False	stim\2 M024C + M010C.jpg	2019-02-15 10:55:31
LookAtMe1.2	41	1	1	1	1	25	16	5	0.3538932390511036	False	stim\1 M024C.jpg	2019-02-15 10:55:39
LookAtMe1.2	41	1	1	1	1	26	46	1	0.42197205126285553	True	stim\7 F080C.jpg	2019-02-15 10:55:47
LookAtMe1.2	41	1	1	1	1	27	41	1	0.6889810124412179	False	stim\8 F080C + F101C.jpg	2019-02-15 10:55:56
LookAtMe1.2	41	1	1	1	1	28	11	1	0.4025328950956464	False	stim\2 M024C + M010C.jpg	2019-02-15 10:56:05
LookAtMe1.2	41	1	1	1	1	29	41	1	0.4247495885938406	False	stim\8 F080C + F101C.jpg	2019-02-15 10:56:14
LookAtMe1.2	41	1	1	1	1	30	11	1	0.5270584542304277	False	stim\2 M024C + M010C.jpg	2019-02-15 10:56:22
LookAtMe1.2	41	1	1	1	1	31	16	5	0.3140299888327718	True	stim\1 M024C.jpg	2019-02-15 10:56:32
LookAtMe1.2	41	1	1	1	1	32	46	5	0.38495003804564476	False	stim\7 F080C.jpg	2019-02-15 10:56:41
LookAtMe1.2	41	1	1	1	1	33	11	1	0.3900441937148571	False	stim\2 M024C + M010C.jpg	2019-02-15 10:56:50
LookAtMe1.2	41	1	1	1	1	34	46	4	0.3555818758904934	True	stim\7 F080C.jpg	2019-02-15 10:56:58
LookAtMe1.2	41	1	1	1	1	35	16	1	0.5781454313546419	True	stim\1 M024C.jpg	2019-02-15 10:57:08
LookAtMe1.2	41	1	1	1	1	36	41	1	0.5748213408514857	False	stim\8 F080C + F101C.jpg	2019-02-15 10:57:17
LookAtMe1.2	41	1	1	1	1	37	46	4	-0.1966976635158062	False	stim\7 F080C.jpg	2019-02-15 10:57:25
LookAtMe1.2	41	1	1	1	1	38	41	1	0.40003659669309855	False	stim\8 F080C + F101C.jpg	2019-02-15 10:57:35
LookAtMe1.2	41	1	1	1	1	39	16	4	0.3499634023755789	True	stim\1 M024C.jpg	2019-02-15 10:57:44
LookAtMe1.2	41	1	1	1	1	40	11	2	1.2241677604615688	False	stim\2 M024C + M010C.jpg	2019-02-15 10:57:53
LookAtMe1.2	41	1	1	1	1	41	16	5	0.33803086820989847	False	stim\1 M024C.jpg	2019-02-15 10:58:03
