expName	subject	pairs	cs1	cs2	block	trial	condition	rating	rt	shock	picName	timestamp
LookAtMe	5	1	2	1	1	1	41	2	0.3677911425475031	False	stim\8 F080C + F101C.jpg	2018-12-19 13:14:42
LookAtMe	5	1	2	1	1	2	46	1	0.5997467644046992	False	stim\7 F080C.jpg	2018-12-19 13:14:50
LookAtMe	5	1	2	1	1	3	16	3	0.6880937272217125	False	stim\2 M024C + M010C.jpg	2018-12-19 13:14:59
LookAtMe	5	1	2	1	1	4	11	2	0.6557872775010765	False	stim\1 M024C.jpg	2018-12-19 13:15:08
LookAtMe	5	1	2	1	1	5	41	3	0.381555336760357	False	stim\8 F080C + F101C.jpg	2018-12-19 13:15:17
LookAtMe	5	1	2	1	1	6	11	1	0.39980373345315456	False	stim\1 M024C.jpg	2018-12-19 13:15:26
LookAtMe	5	1	2	1	1	7	16	2	0.3701468212530017	False	stim\2 M024C + M010C.jpg	2018-12-19 13:15:35
LookAtMe	5	1	2	1	1	8	46	2	0.4294390119612217	False	stim\7 F080C.jpg	2018-12-19 13:15:44
LookAtMe	5	1	2	1	1	9	11	1	0.47417136607691646	False	stim\1 M024C.jpg	2018-12-19 13:15:52
LookAtMe	5	1	2	1	1	10	16	1	0.32863159105181694	False	stim\2 M024C + M010C.jpg	2018-12-19 13:16:01
LookAtMe	5	1	2	1	1	11	46	1	0.38302883785218	False	stim\7 F080C.jpg	2018-12-19 13:16:09
LookAtMe	5	1	2	1	1	12	41	1	0.3803850091062486	False	stim\8 F080C + F101C.jpg	2018-12-19 13:16:17
LookAtMe	5	1	2	1	1	13	16	1	0.34170410502702	False	stim\2 M024C + M010C.jpg	2018-12-19 13:16:26
LookAtMe	5	1	2	1	1	14	41	1	0.3402251957450062	False	stim\8 F080C + F101C.jpg	2018-12-19 13:16:35
LookAtMe	5	1	2	1	1	15	46	1	0.4970836457796395	False	stim\7 F080C.jpg	2018-12-19 13:16:45
LookAtMe	5	1	2	1	1	16	11	1	0.6899875847157091	False	stim\1 M024C.jpg	2018-12-19 13:16:53
LookAtMe	5	1	2	1	1	17	16	1	0.43095788382925093	True	stim\2 M024C + M010C.jpg	2018-12-19 13:17:01
LookAtMe	5	1	2	1	1	18	41	3	0.44648733478970826	False	stim\8 F080C + F101C.jpg	2018-12-19 13:17:11
LookAtMe	5	1	2	1	1	19	11	2	0.4731488691177219	False	stim\1 M024C.jpg	2018-12-19 13:17:19
LookAtMe	5	1	2	1	1	20	46	2	0.4937475360929966	True	stim\7 F080C.jpg	2018-12-19 13:17:28
LookAtMe	5	1	2	1	1	21	41	2	0.5718551089521497	False	stim\8 F080C + F101C.jpg	2018-12-19 13:17:36
LookAtMe	5	1	2	1	1	22	46	4	0.36855223099701107	True	stim\7 F080C.jpg	2018-12-19 13:17:46
LookAtMe	5	1	2	1	1	23	16	3	0.3984104578848928	True	stim\2 M024C + M010C.jpg	2018-12-19 13:17:56
LookAtMe	5	1	2	1	1	24	11	3	0.4457496826071292	False	stim\1 M024C.jpg	2018-12-19 13:18:05
LookAtMe	5	1	2	1	1	25	16	4	0.3167158835567534	False	stim\2 M024C + M010C.jpg	2018-12-19 13:18:15
LookAtMe	5	1	2	1	1	26	46	4	0.4970791388768703	True	stim\7 F080C.jpg	2018-12-19 13:18:23
LookAtMe	5	1	2	1	1	27	41	3	0.43591081839986145	False	stim\8 F080C + F101C.jpg	2018-12-19 13:18:33
LookAtMe	5	1	2	1	1	28	11	2	0.4034529321361333	False	stim\1 M024C.jpg	2018-12-19 13:18:42
LookAtMe	5	1	2	1	1	29	41	3	0.9448155239224434	False	stim\8 F080C + F101C.jpg	2018-12-19 13:18:51
LookAtMe	5	1	2	1	1	30	11	3	0.4756719092838466	False	stim\1 M024C.jpg	2018-12-19 13:19:01
LookAtMe	5	1	2	1	1	31	16	4	0.3162390389479697	True	stim\2 M024C + M010C.jpg	2018-12-19 13:19:10
LookAtMe	5	1	2	1	1	32	46	5	0.3413381336722523	False	stim\7 F080C.jpg	2018-12-19 13:19:20
LookAtMe	5	1	2	1	1	33	11	1	1.5779747653286904	False	stim\1 M024C.jpg	2018-12-19 13:19:29
LookAtMe	5	1	2	1	1	34	46	5	0.47974116378463805	True	stim\7 F080C.jpg	2018-12-19 13:19:39
LookAtMe	5	1	2	1	1	35	16	5	0.5749322141055018	True	stim\2 M024C + M010C.jpg	2018-12-19 13:19:47
LookAtMe	5	1	2	1	1	36	41	2	0.3062349164392799	False	stim\8 F080C + F101C.jpg	2018-12-19 13:19:55
LookAtMe	5	1	2	1	1	37	46	5	0.3638546955771744	False	stim\7 F080C.jpg	2018-12-19 13:20:04
LookAtMe	5	1	2	1	1	38	41	2	0.5418199058622122	False	stim\8 F080C + F101C.jpg	2018-12-19 13:20:14
LookAtMe	5	1	2	1	1	39	16	4	0.29267624323256314	True	stim\2 M024C + M010C.jpg	2018-12-19 13:20:23
LookAtMe	5	1	2	1	1	40	11	1	0.3992139124311507	False	stim\1 M024C.jpg	2018-12-19 13:20:32
LookAtMe	5	1	2	1	1	41	16	5	0.43924302188679576	False	stim\2 M024C + M010C.jpg	2018-12-19 13:20:41
LookAtMe	5	1	2	1	1	42	41	2	0.37337295920588076	False	stim\8 F080C + F101C.jpg	2018-12-19 13:20:51
LookAtMe	5	1	2	1	1	43	46	4	0.4231237501371652	True	stim\7 F080C.jpg	2018-12-19 13:21:00
LookAtMe	5	1	2	1	1	44	11	1	0.3949448459316045	False	stim\1 M024C.jpg	2018-12-19 13:21:08
LookAtMe	5	1	2	1	1	45	16	4	0.38500111759640276	True	stim\2 M024C + M010C.jpg	2018-12-19 13:21:18
LookAtMe	5	1	2	1	1	46	11	1	0.39697691914625466	False	stim\1 M024C.jpg	2018-12-19 13:21:26
LookAtMe	5	1	2	1	1	47	46	5	0.4195989458821714	True	stim\7 F080C.jpg	2018-12-19 13:21:35
LookAtMe	5	1	2	1	1	48	41	1	0.3504234212450683	False	stim\8 F080C + F101C.jpg	2018-12-19 13:21:44
LookAtMe	5	1	2	1	2	49	12	1	0.6087100617587566	False	stim\morph\1&2 20.jpg	2018-12-19 13:25:46
LookAtMe	5	1	2	1	2	50	16	4	0.3390070933382958	True	stim\2 M024C + M010C.jpg	2018-12-19 13:25:55
LookAtMe	5	1	2	1	2	51	15	3	0.3116998504847288	False	stim\morph\1&2 80.jpg	2018-12-19 13:26:04
LookAtMe	5	1	2	1	2	52	14	1	0.44349135598167777	False	stim\morph\1&2 60.jpg	2018-12-19 13:26:13
LookAtMe	5	1	2	1	2	53	16	5	0.3037094727624208	False	stim\2 M024C + M010C.jpg	2018-12-19 13:26:22
LookAtMe	5	1	2	1	2	54	43	3	0.9567796071060002	False	stim\morph\7&8 60.jpg	2018-12-19 13:26:31
LookAtMe	5	1	2	1	2	55	45	5	0.36025447328574955	False	stim\morph\7&8 20.jpg	2018-12-19 13:26:41
LookAtMe	5	1	2	1	2	56	13	2	0.5096742073073983	False	stim\morph\1&2 40.jpg	2018-12-19 13:26:50
LookAtMe	5	1	2	1	2	57	41	1	0.37768559390679	False	stim\8 F080C + F101C.jpg	2018-12-19 13:27:00
LookAtMe	5	1	2	1	2	58	46	4	0.40052756387740374	True	stim\7 F080C.jpg	2018-12-19 13:27:09
LookAtMe	5	1	2	1	2	59	11	3	0.31617473834194243	False	stim\1 M024C.jpg	2018-12-19 13:27:18
LookAtMe	5	1	2	1	2	60	42	2	1.049434096319601	False	stim\morph\7&8 80.jpg	2018-12-19 13:27:28
LookAtMe	5	1	2	1	2	61	46	4	0.3572344572748989	False	stim\7 F080C.jpg	2018-12-19 13:27:36
LookAtMe	5	1	2	1	2	62	44	4	0.5191966774873435	False	stim\morph\7&8 40.jpg	2018-12-19 13:27:44
LookAtMe	5	1	2	1	2	63	16	5	0.3356775939464569	False	stim\2 M024C + M010C.jpg	2018-12-19 13:27:52
LookAtMe	5	1	2	1	2	64	15	1	0.36884669098071754	False	stim\morph\1&2 80.jpg	2018-12-19 13:28:01
LookAtMe	5	1	2	1	2	65	45	3	0.30363405495882034	False	stim\morph\7&8 20.jpg	2018-12-19 13:28:10
LookAtMe	5	1	2	1	2	66	46	4	0.4176786469761282	True	stim\7 F080C.jpg	2018-12-19 13:28:20
LookAtMe	5	1	2	1	2	67	13	1	0.5935679157264531	False	stim\morph\1&2 40.jpg	2018-12-19 13:28:28
LookAtMe	5	1	2	1	2	68	16	5	0.38726635510101914	True	stim\2 M024C + M010C.jpg	2018-12-19 13:28:37
LookAtMe	5	1	2	1	2	69	42	1	0.46010129409842193	False	stim\morph\7&8 80.jpg	2018-12-19 13:28:46
LookAtMe	5	1	2	1	2	70	12	1	0.38641182077117264	False	stim\morph\1&2 20.jpg	2018-12-19 13:28:55
LookAtMe	5	1	2	1	2	71	46	1	0.43759855395182967	False	stim\7 F080C.jpg	2018-12-19 13:29:04
LookAtMe	5	1	2	1	2	72	44	1	0.36024275491945446	False	stim\morph\7&8 40.jpg	2018-12-19 13:29:13
LookAtMe	5	1	2	1	2	73	41	1	0.3283121921122074	False	stim\8 F080C + F101C.jpg	2018-12-19 13:29:21
LookAtMe	5	1	2	1	2	74	11	1	0.45996698434464633	False	stim\1 M024C.jpg	2018-12-19 13:29:31
LookAtMe	5	1	2	1	2	75	14	1	0.4104394423775375	False	stim\morph\1&2 60.jpg	2018-12-19 13:29:39
LookAtMe	5	1	2	1	2	76	43	1	0.40646333317272365	False	stim\morph\7&8 60.jpg	2018-12-19 13:29:49
LookAtMe	5	1	2	1	2	77	14	1	0.34571777284145355	False	stim\morph\1&2 60.jpg	2018-12-19 13:29:58
LookAtMe	5	1	2	1	2	78	43	3	0.5543990496080369	False	stim\morph\7&8 60.jpg	2018-12-19 13:30:08
LookAtMe	5	1	2	1	2	79	42	1	0.2995951478369534	False	stim\morph\7&8 80.jpg	2018-12-19 13:30:18
LookAtMe	5	1	2	1	2	80	15	1	0.3223845358006656	False	stim\morph\1&2 80.jpg	2018-12-19 13:30:27
LookAtMe	5	1	2	1	2	81	16	5	0.2748319776728749	True	stim\2 M024C + M010C.jpg	2018-12-19 13:30:35
LookAtMe	5	1	2	1	2	82	13	1	0.44710359699092805	False	stim\morph\1&2 40.jpg	2018-12-19 13:30:45
LookAtMe	5	1	2	1	2	83	44	5	0.3482837800402194	False	stim\morph\7&8 40.jpg	2018-12-19 13:30:54
LookAtMe	5	1	2	1	2	84	46	5	0.3000067905522883	False	stim\7 F080C.jpg	2018-12-19 13:31:02
LookAtMe	5	1	2	1	2	85	41	1	0.4315567191224545	False	stim\8 F080C + F101C.jpg	2018-12-19 13:31:11
LookAtMe	5	1	2	1	2	86	12	1	0.4180917921476066	False	stim\morph\1&2 20.jpg	2018-12-19 13:31:20
LookAtMe	5	1	2	1	2	87	46	4	0.6599565881770104	True	stim\7 F080C.jpg	2018-12-19 13:31:29
LookAtMe	5	1	2	1	2	88	16	5	0.30977654713205993	False	stim\2 M024C + M010C.jpg	2018-12-19 13:31:37
LookAtMe	5	1	2	1	2	89	45	5	0.30513159348629415	False	stim\morph\7&8 20.jpg	2018-12-19 13:31:46
LookAtMe	5	1	2	1	2	90	11	1	0.5007616893853992	False	stim\1 M024C.jpg	2018-12-19 13:31:55
LookAtMe	5	1	2	1	2	91	45	4	0.2792173258494586	False	stim\morph\7&8 20.jpg	2018-12-19 13:32:03
LookAtMe	5	1	2	1	2	92	11	1	0.39665060956031084	False	stim\1 M024C.jpg	2018-12-19 13:32:11
LookAtMe	5	1	2	1	2	93	46	4	0.4270181313622743	False	stim\7 F080C.jpg	2018-12-19 13:32:21
LookAtMe	5	1	2	1	2	94	42	1	0.5217431539203972	False	stim\morph\7&8 80.jpg	2018-12-19 13:32:30
LookAtMe	5	1	2	1	2	95	41	1	0.4546949516516179	False	stim\8 F080C + F101C.jpg	2018-12-19 13:32:39
LookAtMe	5	1	2	1	2	96	46	3	0.2518370687030256	True	stim\7 F080C.jpg	2018-12-19 13:32:48
LookAtMe	5	1	2	1	2	97	15	4	0.32075659348629415	False	stim\morph\1&2 80.jpg	2018-12-19 13:32:58
LookAtMe	5	1	2	1	2	98	44	1	0.32953329919837415	False	stim\morph\7&8 40.jpg	2018-12-19 13:33:06
LookAtMe	5	1	2	1	2	99	16	5	0.33970929007045925	False	stim\2 M024C + M010C.jpg	2018-12-19 13:33:14
LookAtMe	5	1	2	1	2	100	43	2	1.5207041315734386	False	stim\morph\7&8 60.jpg	2018-12-19 13:33:24
LookAtMe	5	1	2	1	2	101	16	4	0.3164127101190388	True	stim\2 M024C + M010C.jpg	2018-12-19 13:33:34
LookAtMe	5	1	2	1	2	102	12	1	0.43364437902346253	False	stim\morph\1&2 20.jpg	2018-12-19 13:33:42
LookAtMe	5	1	2	1	2	103	13	1	0.34213888412341475	False	stim\morph\1&2 40.jpg	2018-12-19 13:33:51
LookAtMe	5	1	2	1	2	104	14	1	0.9653796369675547	False	stim\morph\1&2 60.jpg	2018-12-19 13:34:01
LookAtMe	5	1	2	1	2	105	44	1	0.4656215144786984	False	stim\morph\7&8 40.jpg	2018-12-19 13:34:10
LookAtMe	5	1	2	1	2	106	46	3	1.2994683496654034	False	stim\7 F080C.jpg	2018-12-19 13:34:18
LookAtMe	5	1	2	1	2	107	42	1	0.3903828216716647	False	stim\morph\7&8 80.jpg	2018-12-19 13:34:27
LookAtMe	5	1	2	1	2	108	16	5	0.5647201670799404	True	stim\2 M024C + M010C.jpg	2018-12-19 13:34:35
LookAtMe	5	1	2	1	2	109	43	2	0.6276624577585608	False	stim\morph\7&8 60.jpg	2018-12-19 13:34:44
LookAtMe	5	1	2	1	2	110	45	4	0.38618045928888023	False	stim\morph\7&8 20.jpg	2018-12-19 13:34:52
LookAtMe	5	1	2	1	2	111	11	1	0.40205815387889743	False	stim\1 M024C.jpg	2018-12-19 13:35:01
LookAtMe	5	1	2	1	2	112	16	3	0.9142653166782111	False	stim\2 M024C + M010C.jpg	2018-12-19 13:35:11
LookAtMe	5	1	2	1	2	113	41	2	0.3997111888602376	False	stim\8 F080C + F101C.jpg	2018-12-19 13:35:20
LookAtMe	5	1	2	1	2	114	13	1	0.39862739644013345	False	stim\morph\1&2 40.jpg	2018-12-19 13:35:28
LookAtMe	5	1	2	1	2	115	15	1	0.3185388301499188	False	stim\morph\1&2 80.jpg	2018-12-19 13:35:37
LookAtMe	5	1	2	1	2	116	46	3	0.3810481447726488	True	stim\7 F080C.jpg	2018-12-19 13:35:46
LookAtMe	5	1	2	1	2	117	14	1	0.4392069657333195	False	stim\morph\1&2 60.jpg	2018-12-19 13:35:56
LookAtMe	5	1	2	1	2	118	12	1	0.4386006186250597	False	stim\morph\1&2 20.jpg	2018-12-19 13:36:05
LookAtMe	5	1	2	1	2	119	14	1	0.39801624207757413	False	stim\morph\1&2 60.jpg	2018-12-19 13:36:13
LookAtMe	5	1	2	1	2	120	43	3	0.3895622403360903	False	stim\morph\7&8 60.jpg	2018-12-19 13:36:22
LookAtMe	5	1	2	1	2	121	44	4	0.3198840308468789	False	stim\morph\7&8 40.jpg	2018-12-19 13:36:30
LookAtMe	5	1	2	1	2	122	46	4	0.281714525539428	False	stim\7 F080C.jpg	2018-12-19 13:36:39
LookAtMe	5	1	2	1	2	123	12	1	0.48873060173355043	False	stim\morph\1&2 20.jpg	2018-12-19 13:36:48
