expName	subject	pairs	block	trial	condition	rating	rt	correct	picName	timestamp
Discrimination_LookAtMe	20	2	1	1	4	3	2.165065466426313	False	stim\6 F053C.jpg	2019-01-04 11:21:30
Discrimination_LookAtMe	20	2	1	2	3	3	1.8634740011766553	True	stim\5 F053C + F048C.jpg	2019-01-04 11:21:41
Discrimination_LookAtMe	20	2	1	3	1	1	2.4079025806859136	True	stim\3 M078C + M057C.jpg	2019-01-04 11:21:53
Discrimination_LookAtMe	20	2	1	4	2	2	1.2019417523406446	True	stim\4 M078C.jpg	2019-01-04 11:22:03
Discrimination_LookAtMe	20	2	1	5	2	2	0.9382511731237173	True	stim\4 M078C.jpg	2019-01-04 11:22:13
Discrimination_LookAtMe	20	2	1	6	4	4	1.4901782623492181	True	stim\6 F053C.jpg	2019-01-04 11:22:23
Discrimination_LookAtMe	20	2	1	7	1	1	0.7156031858175993	True	stim\3 M078C + M057C.jpg	2019-01-04 11:22:33
Discrimination_LookAtMe	20	2	1	8	3	4	0.8643657937645912	False	stim\5 F053C + F048C.jpg	2019-01-04 11:22:43
Discrimination_LookAtMe	20	2	1	9	1	1	0.6312719946727157	True	stim\3 M078C + M057C.jpg	2019-01-04 11:22:53
Discrimination_LookAtMe	20	2	1	10	3	4	2.152801815420389	False	stim\5 F053C + F048C.jpg	2019-01-04 11:23:04
Discrimination_LookAtMe	20	2	1	11	4	3	0.7410664493218064	False	stim\6 F053C.jpg	2019-01-04 11:23:14
Discrimination_LookAtMe	20	2	1	12	2	2	0.6603910666890442	True	stim\4 M078C.jpg	2019-01-04 11:23:24
Discrimination_LookAtMe	20	2	1	13	4	4	1.3128611636348069	True	stim\6 F053C.jpg	2019-01-04 11:23:34
Discrimination_LookAtMe	20	2	1	14	2	2	0.5528116710484028	True	stim\4 M078C.jpg	2019-01-04 11:23:44
Discrimination_LookAtMe	20	2	1	15	1	1	0.5777740520425141	True	stim\3 M078C + M057C.jpg	2019-01-04 11:23:53
Discrimination_LookAtMe	20	2	1	16	3	4	1.5971924755722284	False	stim\5 F053C + F048C.jpg	2019-01-04 11:24:04
Discrimination_LookAtMe	20	2	1	17	2	2	0.6946854209527373	True	stim\4 M078C.jpg	2019-01-04 11:24:14
Discrimination_LookAtMe	20	2	1	18	4	4	0.8992244289256632	True	stim\6 F053C.jpg	2019-01-04 11:24:24
Discrimination_LookAtMe	20	2	1	19	3	3	0.6009182939305902	True	stim\5 F053C + F048C.jpg	2019-01-04 11:24:33
Discrimination_LookAtMe	20	2	1	20	1	1	0.5585109707899392	True	stim\3 M078C + M057C.jpg	2019-01-04 11:24:43
Discrimination_LookAtMe	20	2	1	1	3	3	0.7514695948921144	True	stim\5 F053C + F048C.jpg	2019-01-04 11:25:51
Discrimination_LookAtMe	20	2	1	2	1	1	0.5713743581436574	True	stim\3 M078C + M057C.jpg	2019-01-04 11:26:01
Discrimination_LookAtMe	20	2	1	3	4	4	0.4494872190989554	True	stim\6 F053C.jpg	2019-01-04 11:26:10
Discrimination_LookAtMe	20	2	1	4	2	2	0.4564851471222937	True	stim\4 M078C.jpg	2019-01-04 11:26:20
Discrimination_LookAtMe	20	2	1	5	4	4	0.6286867572925985	True	stim\6 F053C.jpg	2019-01-04 11:26:29
Discrimination_LookAtMe	20	2	1	6	3	3	0.7129557519219816	True	stim\5 F053C + F048C.jpg	2019-01-04 11:26:39
Discrimination_LookAtMe	20	2	1	7	1	1	0.5063960878178477	True	stim\3 M078C + M057C.jpg	2019-01-04 11:26:49
Discrimination_LookAtMe	20	2	1	8	2	2	0.5224071913398802	True	stim\4 M078C.jpg	2019-01-04 11:26:58
Discrimination_LookAtMe	20	2	1	9	1	1	0.5635964120738208	True	stim\3 M078C + M057C.jpg	2019-01-04 11:27:08
Discrimination_LookAtMe	20	2	1	10	3	3	0.4424090660177171	True	stim\5 F053C + F048C.jpg	2019-01-04 11:27:18
Discrimination_LookAtMe	20	2	1	11	4	4	0.7273978046141565	True	stim\6 F053C.jpg	2019-01-04 11:27:27
Discrimination_LookAtMe	20	2	1	12	2	2	0.6849240772426128	True	stim\4 M078C.jpg	2019-01-04 11:27:37
Discrimination_LookAtMe	20	2	1	13	3	3	0.5297882175073028	True	stim\5 F053C + F048C.jpg	2019-01-04 11:27:47
Discrimination_LookAtMe	20	2	1	14	1	1	0.43690897710621357	True	stim\3 M078C + M057C.jpg	2019-01-04 11:27:56
Discrimination_LookAtMe	20	2	1	15	4	4	0.44394055753946304	True	stim\6 F053C.jpg	2019-01-04 11:28:06
Discrimination_LookAtMe	20	2	1	16	2	2	0.4390510222874582	True	stim\4 M078C.jpg	2019-01-04 11:28:15
Discrimination_LookAtMe	20	2	1	17	4	3	0.6536299083381891	False	stim\6 F053C.jpg	2019-01-04 11:28:25
Discrimination_LookAtMe	20	2	1	18	3	3	0.44247096264734864	True	stim\5 F053C + F048C.jpg	2019-01-04 11:28:35
Discrimination_LookAtMe	20	2	1	19	2	2	0.37106325244531035	True	stim\4 M078C.jpg	2019-01-04 11:28:44
Discrimination_LookAtMe	20	2	1	20	1	1	0.44533503521233797	True	stim\3 M078C + M057C.jpg	2019-01-04 11:28:54
