expName	subject	pairs	block	trial	condition	rating	rt	correct	picName	timestamp
Discrimination_LookAtMe1.2	44	2	1	1	1	1	0.7558528399094939	True	stim\3 M078C + M057C.jpg	2019-02-19 14:35:41
Discrimination_LookAtMe1.2	44	2	1	2	3	4	0.5970710860565305	False	stim\5 F053C + F048C.jpg	2019-02-19 14:35:51
Discrimination_LookAtMe1.2	44	2	1	3	4	4	0.4845585869625211	True	stim\6 F053C.jpg	2019-02-19 14:36:00
Discrimination_LookAtMe1.2	44	2	1	4	2	2	0.4158617099747062	True	stim\4 M078C.jpg	2019-02-19 14:36:10
Discrimination_LookAtMe1.2	44	2	1	5	4	4	0.7657782398164272	True	stim\6 F053C.jpg	2019-02-19 14:36:19
Discrimination_LookAtMe1.2	44	2	1	6	1	1	0.47481316793709993	True	stim\3 M078C + M057C.jpg	2019-02-19 14:36:29
Discrimination_LookAtMe1.2	44	2	1	7	3	3	0.49421626795083284	True	stim\5 F053C + F048C.jpg	2019-02-19 14:36:39
Discrimination_LookAtMe1.2	44	2	1	8	2	2	0.582701145671308	True	stim\4 M078C.jpg	2019-02-19 14:36:48
Discrimination_LookAtMe1.2	44	2	1	9	2	2	0.4149972591549158	True	stim\4 M078C.jpg	2019-02-19 14:36:58
Discrimination_LookAtMe1.2	44	2	1	10	1	1	0.5702851573005319	True	stim\3 M078C + M057C.jpg	2019-02-19 14:37:07
Discrimination_LookAtMe1.2	44	2	1	11	4	4	0.8519609216600657	True	stim\6 F053C.jpg	2019-02-19 14:37:17
Discrimination_LookAtMe1.2	44	2	1	12	3	3	0.5909823775291443	True	stim\5 F053C + F048C.jpg	2019-02-19 14:37:27
Discrimination_LookAtMe1.2	44	2	1	13	3	3	0.4591292757540941	True	stim\5 F053C + F048C.jpg	2019-02-19 14:37:36
Discrimination_LookAtMe1.2	44	2	1	14	4	4	0.3549424782395363	True	stim\6 F053C.jpg	2019-02-19 14:37:46
Discrimination_LookAtMe1.2	44	2	1	15	2	2	0.3822896834462881	True	stim\4 M078C.jpg	2019-02-19 14:37:55
Discrimination_LookAtMe1.2	44	2	1	16	1	1	0.2812319714576006	True	stim\3 M078C + M057C.jpg	2019-02-19 14:38:05
Discrimination_LookAtMe1.2	44	2	1	17	3	3	0.41771290078759193	True	stim\5 F053C + F048C.jpg	2019-02-19 14:38:14
Discrimination_LookAtMe1.2	44	2	1	18	2	2	0.7093453137204051	True	stim\4 M078C.jpg	2019-02-19 14:38:24
Discrimination_LookAtMe1.2	44	2	1	19	4	4	0.38042947836220264	True	stim\6 F053C.jpg	2019-02-19 14:38:33
Discrimination_LookAtMe1.2	44	2	1	20	1	1	0.4225874124094844	True	stim\3 M078C + M057C.jpg	2019-02-19 14:38:43
