expName	subject	pairs	cs1	cs2	block	trial	condition	rating	rt	shock	picName	timestamp
LookAtMe	1	1	1	1	1	1	41	1	1.4120523609453812	False	stim\8 F080C + F101C.jpg	2018-12-18 15:00:50
LookAtMe	1	1	1	1	1	2	46	1	1.0369748398661613	False	stim\7 F080C.jpg	2018-12-18 15:00:59
LookAtMe	1	1	1	1	1	3	16	2	1.1465172012103721	False	stim\1 M024C.jpg	2018-12-18 15:01:07
LookAtMe	1	1	1	1	1	4	11	3	1.2946590394712985	False	stim\2 M024C + M010C.jpg	2018-12-18 15:01:17
LookAtMe	1	1	1	1	1	5	41		-1	False	stim\8 F080C + F101C.jpg	2018-12-18 15:01:25
LookAtMe	1	1	1	1	1	6	11		-1	False	stim\2 M024C + M010C.jpg	2018-12-18 15:01:35
LookAtMe	1	1	1	1	1	7	16	2	0.4453106971923262	False	stim\1 M024C.jpg	2018-12-18 15:01:43
LookAtMe	1	1	1	1	1	8	46	2	0.5952634634450078	False	stim\7 F080C.jpg	2018-12-18 15:01:53
LookAtMe	1	1	1	1	1	9	11	4	0.5315213237190619	False	stim\2 M024C + M010C.jpg	2018-12-18 15:02:02
LookAtMe	1	1	1	1	1	10	16	3	0.49207121843937784	False	stim\1 M024C.jpg	2018-12-18 15:02:11
LookAtMe	1	1	1	1	1	11	46	2	0.4503660916816443	False	stim\7 F080C.jpg	2018-12-18 15:02:20
LookAtMe	1	1	1	1	1	12	41	4	0.49251561239361763	False	stim\8 F080C + F101C.jpg	2018-12-18 15:02:30
LookAtMe	1	1	1	1	1	13	16	3	0.37615981115959585	False	stim\1 M024C.jpg	2018-12-18 15:02:39
LookAtMe	1	1	1	1	1	14	41	4	0.4781943482812494	False	stim\8 F080C + F101C.jpg	2018-12-18 15:02:47
LookAtMe	1	1	1	1	1	15	46	2	0.3725926406914368	False	stim\7 F080C.jpg	2018-12-18 15:02:57
LookAtMe	1	1	1	1	1	16	11	4	0.47878056368790567	False	stim\2 M024C + M010C.jpg	2018-12-18 15:03:05
LookAtMe	1	1	1	1	1	17	16	3	0.4417777801863849	True	stim\1 M024C.jpg	2018-12-18 15:03:15
LookAtMe	1	1	1	1	1	18	41	4	0.6124653258593753	False	stim\8 F080C + F101C.jpg	2018-12-18 15:03:25
LookAtMe	1	1	1	1	1	19	11	3	1.0696529700653628	False	stim\2 M024C + M010C.jpg	2018-12-18 15:03:34
LookAtMe	1	1	1	1	1	20	46	2	0.7030664085177705	True	stim\7 F080C.jpg	2018-12-18 15:03:43
LookAtMe	1	1	1	1	1	21	41	2	0.5389930916717276	False	stim\8 F080C + F101C.jpg	2018-12-18 15:03:52
LookAtMe	1	1	1	1	1	22	46	4	0.37179219070822	True	stim\7 F080C.jpg	2018-12-18 15:04:00
LookAtMe	1	1	1	1	1	23	16	4	0.5264370841905475	True	stim\1 M024C.jpg	2018-12-18 15:04:10
LookAtMe	1	1	1	1	1	24	11	3	0.41518024541437626	False	stim\2 M024C + M010C.jpg	2018-12-18 15:04:20
LookAtMe	1	1	1	1	1	25	16	2	0.5252739678835496	False	stim\1 M024C.jpg	2018-12-18 15:04:30
LookAtMe	1	1	1	1	1	26	46	4	0.4277449664659798	True	stim\7 F080C.jpg	2018-12-18 15:04:39
LookAtMe	1	1	1	1	1	27	41	2	0.4437383417971432	False	stim\8 F080C + F101C.jpg	2018-12-18 15:04:49
LookAtMe	1	1	1	1	1	28	11	3	0.3289591025095433	False	stim\2 M024C + M010C.jpg	2018-12-18 15:04:57
LookAtMe	1	1	1	1	1	29	41	1	0.5916515230201185	False	stim\8 F080C + F101C.jpg	2018-12-18 15:05:07
LookAtMe	1	1	1	1	1	30	11	3	1.033685002475977	False	stim\2 M024C + M010C.jpg	2018-12-18 15:05:15
LookAtMe	1	1	1	1	1	31	16	4	0.40208609763067216	True	stim\1 M024C.jpg	2018-12-18 15:05:25
LookAtMe	1	1	1	1	1	32	46	5	0.41116627724841237	False	stim\7 F080C.jpg	2018-12-18 15:05:34
LookAtMe	1	1	1	1	1	33	11	3	0.7977199194720015	False	stim\2 M024C + M010C.jpg	2018-12-18 15:05:44
LookAtMe	1	1	1	1	1	34	46	3	0.6822649249807	True	stim\7 F080C.jpg	2018-12-18 15:05:53
LookAtMe	1	1	1	1	1	35	16	4	0.5270731775090098	True	stim\1 M024C.jpg	2018-12-18 15:06:02
LookAtMe	1	1	1	1	1	36	41	2	0.4144335794262588	False	stim\8 F080C + F101C.jpg	2018-12-18 15:06:10
LookAtMe	1	1	1	1	1	37	46	3	0.8035532287321985	False	stim\7 F080C.jpg	2018-12-18 15:06:18
LookAtMe	1	1	1	1	1	38	41	1	0.3333627792308107	False	stim\8 F080C + F101C.jpg	2018-12-18 15:06:27
LookAtMe	1	1	1	1	1	39	16	4	0.45910493831615895	True	stim\1 M024C.jpg	2018-12-18 15:06:37
LookAtMe	1	1	1	1	1	40	11	2	0.4287560455268249	False	stim\2 M024C + M010C.jpg	2018-12-18 15:06:47
LookAtMe	1	1	1	1	1	41	16	2	0.5050136293284595	False	stim\1 M024C.jpg	2018-12-18 15:06:55
LookAtMe	1	1	1	1	1	42	41	1	0.6219195895828307	False	stim\8 F080C + F101C.jpg	2018-12-18 15:07:04
LookAtMe	1	1	1	1	1	43	46	3	0.8463679882697761	True	stim\7 F080C.jpg	2018-12-18 15:07:14
LookAtMe	1	1	1	1	1	44	11	2	0.5951378672616556	False	stim\2 M024C + M010C.jpg	2018-12-18 15:07:23
LookAtMe	1	1	1	1	1	45	16	3	1.168019078555517	True	stim\1 M024C.jpg	2018-12-18 15:07:32
LookAtMe	1	1	1	1	1	46	11	4	0.35649800731334835	False	stim\2 M024C + M010C.jpg	2018-12-18 15:07:41
LookAtMe	1	1	1	1	1	47	46	5	0.741318242624402	True	stim\7 F080C.jpg	2018-12-18 15:07:51
LookAtMe	1	1	1	1	1	48	41	1	0.541407662210986	False	stim\8 F080C + F101C.jpg	2018-12-18 15:08:00
LookAtMe	1	1	1	1	2	49	12	4	0.5949545809999108	False	stim\morph\1&2 80.jpg	2018-12-18 15:11:08
LookAtMe	1	1	1	1	2	50	16	3	0.36196053749881685	True	stim\1 M024C.jpg	2018-12-18 15:11:18
LookAtMe	1	1	1	1	2	51	15	4	0.22963059111498296	False	stim\morph\1&2 20.jpg	2018-12-18 15:11:27
LookAtMe	1	1	1	1	2	52	14	4	0.7393537748139352	False	stim\morph\1&2 40.jpg	2018-12-18 15:11:36
LookAtMe	1	1	1	1	2	53	16	4	0.4850002763560042	False	stim\1 M024C.jpg	2018-12-18 15:11:45
LookAtMe	1	1	1	1	2	54	43	4	1.4422483149683103	False	stim\morph\7&8 60.jpg	2018-12-18 15:11:55
LookAtMe	1	1	1	1	2	55	45	2	0.6734954304993153	False	stim\morph\7&8 20.jpg	2018-12-18 15:12:05
LookAtMe	1	1	1	1	2	56	13	4	0.4850892153335735	False	stim\morph\1&2 60.jpg	2018-12-18 15:12:14
LookAtMe	1	1	1	1	2	57	41	2	0.5482451395364478	False	stim\8 F080C + F101C.jpg	2018-12-18 15:12:22
LookAtMe	1	1	1	1	2	58	46	2	0.8841766301775351	True	stim\7 F080C.jpg	2018-12-18 15:12:31
LookAtMe	1	1	1	1	2	59	11	2	0.394173240987584	False	stim\2 M024C + M010C.jpg	2018-12-18 15:12:40
LookAtMe	1	1	1	1	2	60	42	2	0.5887610091594979	False	stim\morph\7&8 80.jpg	2018-12-18 15:12:50
LookAtMe	1	1	1	1	2	61	46	4	0.3787056867731735	False	stim\7 F080C.jpg	2018-12-18 15:12:59
LookAtMe	1	1	1	1	2	62	44	3	0.32706344220787287	False	stim\morph\7&8 40.jpg	2018-12-18 15:13:09
LookAtMe	1	1	1	1	2	63	16	4	0.4272699246648699	False	stim\1 M024C.jpg	2018-12-18 15:13:18
LookAtMe	1	1	1	1	2	64	15	2	0.542022422188893	False	stim\morph\1&2 20.jpg	2018-12-18 15:13:28
LookAtMe	1	1	1	1	2	65	45	2	0.4125379192410037	False	stim\morph\7&8 20.jpg	2018-12-18 15:13:36
LookAtMe	1	1	1	1	2	66	46	2	0.455603870912455	True	stim\7 F080C.jpg	2018-12-18 15:13:46
LookAtMe	1	1	1	1	2	67	13	2	0.6519214406143874	False	stim\morph\1&2 60.jpg	2018-12-18 15:13:56
LookAtMe	1	1	1	1	2	68	16	3	1.0275539282010868	True	stim\1 M024C.jpg	2018-12-18 15:14:04
LookAtMe	1	1	1	1	2	69	42	2	0.7655444742413238	False	stim\morph\7&8 80.jpg	2018-12-18 15:14:13
LookAtMe	1	1	1	1	2	70	12	2	0.41160796699114144	False	stim\morph\1&2 80.jpg	2018-12-18 15:14:22
LookAtMe	1	1	1	1	2	71	46	3	1.4991355501115322	False	stim\7 F080C.jpg	2018-12-18 15:14:32
LookAtMe	1	1	1	1	2	72	44	3	0.4252324430271983	False	stim\morph\7&8 40.jpg	2018-12-18 15:14:41
LookAtMe	1	1	1	1	2	73	41	3	0.5170140691334382	False	stim\8 F080C + F101C.jpg	2018-12-18 15:14:50
LookAtMe	1	1	1	1	2	74	11	2	0.8793339679250494	False	stim\2 M024C + M010C.jpg	2018-12-18 15:14:59
LookAtMe	1	1	1	1	2	75	14	2	0.8782546825241297	False	stim\morph\1&2 40.jpg	2018-12-18 15:15:09
LookAtMe	1	1	1	1	2	76	43	4	0.5655293306335807	False	stim\morph\7&8 60.jpg	2018-12-18 15:15:19
LookAtMe	1	1	1	1	2	77	14	3	1.3550221024779603	False	stim\morph\1&2 40.jpg	2018-12-18 15:15:28
LookAtMe	1	1	1	1	2	78	43	2	0.6101805579382926	False	stim\morph\7&8 60.jpg	2018-12-18 15:15:38
LookAtMe	1	1	1	1	2	79	42	2	0.3076317977393046	False	stim\morph\7&8 80.jpg	2018-12-18 15:15:47
LookAtMe	1	1	1	1	2	80	15	2	0.6349563477560878	False	stim\morph\1&2 20.jpg	2018-12-18 15:15:55
LookAtMe	1	1	1	1	2	81	16	2	0.3357007303275168	True	stim\1 M024C.jpg	2018-12-18 15:16:04
LookAtMe	1	1	1	1	2	82	13	3	0.5474371778545901	False	stim\morph\1&2 60.jpg	2018-12-18 15:16:13
LookAtMe	1	1	1	1	2	83	44	2	0.47677433071658015	False	stim\morph\7&8 40.jpg	2018-12-18 15:16:22
LookAtMe	1	1	1	1	2	84	46	3	0.7767324453452602	False	stim\7 F080C.jpg	2018-12-18 15:16:32
LookAtMe	1	1	1	1	2	85	41	2	0.829407102195546	False	stim\8 F080C + F101C.jpg	2018-12-18 15:16:41
LookAtMe	1	1	1	1	2	86	12	2	1.5907747538294643	False	stim\morph\1&2 80.jpg	2018-12-18 15:16:50
LookAtMe	1	1	1	1	2	87	46	2	0.7020027475664392	True	stim\7 F080C.jpg	2018-12-18 15:16:59
LookAtMe	1	1	1	1	2	88	16	2	0.4662443873239681	False	stim\1 M024C.jpg	2018-12-18 15:17:09
LookAtMe	1	1	1	1	2	89	45	2	1.0924757100874558	False	stim\morph\7&8 20.jpg	2018-12-18 15:17:18
LookAtMe	1	1	1	1	2	90	11	2	0.8422855130629614	False	stim\2 M024C + M010C.jpg	2018-12-18 15:17:27
LookAtMe	1	1	1	1	2	91	45	3	0.30472926527727395	False	stim\morph\7&8 20.jpg	2018-12-18 15:17:37
LookAtMe	1	1	1	1	2	92	11	2	0.7497611270518973	False	stim\2 M024C + M010C.jpg	2018-12-18 15:17:46
LookAtMe	1	1	1	1	2	93	46	3	1.4445919747231528	False	stim\7 F080C.jpg	2018-12-18 15:17:56
LookAtMe	1	1	1	1	2	94	42	2	0.5491847068769857	False	stim\morph\7&8 80.jpg	2018-12-18 15:18:05
LookAtMe	1	1	1	1	2	95	41	3	1.2366525566903874	False	stim\8 F080C + F101C.jpg	2018-12-18 15:18:15
LookAtMe	1	1	1	1	2	96	46	4	0.5128432560013607	True	stim\7 F080C.jpg	2018-12-18 15:18:24
LookAtMe	1	1	1	1	2	97	15	2	1.1861995692597702	False	stim\morph\1&2 20.jpg	2018-12-18 15:18:34
LookAtMe	1	1	1	1	2	98	44	2	0.265714239445515	False	stim\morph\7&8 40.jpg	2018-12-18 15:18:44
LookAtMe	1	1	1	1	2	99	16	2	0.4969171859556809	False	stim\1 M024C.jpg	2018-12-18 15:18:54
LookAtMe	1	1	1	1	2	100	43	1	0.6865096534602344	False	stim\morph\7&8 60.jpg	2018-12-18 15:19:03
LookAtMe	1	1	1	1	2	101	16	1	0.7879183132899925	True	stim\1 M024C.jpg	2018-12-18 15:19:12
LookAtMe	1	1	1	1	2	102	12	3	0.3116304420400411	False	stim\morph\1&2 80.jpg	2018-12-18 15:19:22
LookAtMe	1	1	1	1	2	103	13	3	0.34955266141332686	False	stim\morph\1&2 60.jpg	2018-12-18 15:19:31
LookAtMe	1	1	1	1	2	104	14	3	0.4762178617529571	False	stim\morph\1&2 40.jpg	2018-12-18 15:19:40
LookAtMe	1	1	1	1	2	105	44	2	0.591016331105493	False	stim\morph\7&8 40.jpg	2018-12-18 15:19:48
LookAtMe	1	1	1	1	2	106	46	2	0.5418550608446822	False	stim\7 F080C.jpg	2018-12-18 15:19:57
LookAtMe	1	1	1	1	2	107	42	2	0.3727750254329294	False	stim\morph\7&8 80.jpg	2018-12-18 15:20:07
LookAtMe	1	1	1	1	2	108	16	2	0.6525665478548035	True	stim\1 M024C.jpg	2018-12-18 15:20:17
LookAtMe	1	1	1	1	2	109	43	2	0.5363784085493535	False	stim\morph\7&8 60.jpg	2018-12-18 15:20:25
LookAtMe	1	1	1	1	2	110	45	2	0.8293824637075886	False	stim\morph\7&8 20.jpg	2018-12-18 15:20:34
LookAtMe	1	1	1	1	2	111	11	3	0.49337705760262907	False	stim\2 M024C + M010C.jpg	2018-12-18 15:20:43
LookAtMe	1	1	1	1	2	112	16	2	0.7681732793571427	False	stim\1 M024C.jpg	2018-12-18 15:20:52
LookAtMe	1	1	1	1	2	113	41	2	0.9655253643868491	False	stim\8 F080C + F101C.jpg	2018-12-18 15:21:01
LookAtMe	1	1	1	1	2	114	13	2	1.3124320940114558	False	stim\morph\1&2 60.jpg	2018-12-18 15:21:10
LookAtMe	1	1	1	1	2	115	15	2	0.6955621899105608	False	stim\morph\1&2 20.jpg	2018-12-18 15:21:19
LookAtMe	1	1	1	1	2	116	46	2	0.7763039763085544	True	stim\7 F080C.jpg	2018-12-18 15:21:29
LookAtMe	1	1	1	1	2	117	14	3	0.44249560113530606	False	stim\morph\1&2 40.jpg	2018-12-18 15:21:38
LookAtMe	1	1	1	1	2	118	12	2	0.4800163935869932	False	stim\morph\1&2 80.jpg	2018-12-18 15:21:48
LookAtMe	1	1	1	1	2	119	14	2	0.8387201454024762	False	stim\morph\1&2 40.jpg	2018-12-18 15:21:56
LookAtMe	1	1	1	1	2	120	43	2	0.7813545633107424	False	stim\morph\7&8 60.jpg	2018-12-18 15:22:05
LookAtMe	1	1	1	1	2	121	44	2	0.5404614846920595	False	stim\morph\7&8 40.jpg	2018-12-18 15:22:13
LookAtMe	1	1	1	1	2	122	46	2	1.064785368856974	False	stim\7 F080C.jpg	2018-12-18 15:22:23
LookAtMe	1	1	1	1	2	123	12	2	0.8194744912907481	False	stim\morph\1&2 80.jpg	2018-12-18 15:22:33
LookAtMe	1	1	1	1	2	124	16	2	0.711713611963205	True	stim\1 M024C.jpg	2018-12-18 15:22:42
LookAtMe	1	1	1	1	2	125	42	2	0.9302454713033512	False	stim\morph\7&8 80.jpg	2018-12-18 15:22:51
LookAtMe	1	1	1	1	2	126	15	3	0.5117540551582351	False	stim\morph\1&2 20.jpg	2018-12-18 15:23:01
LookAtMe	1	1	1	1	2	127	11	3	0.45554918551351875	False	stim\2 M024C + M010C.jpg	2018-12-18 15:23:11
LookAtMe	1	1	1	1	2	128	13	2	0.5633641495369375	False	stim\morph\1&2 60.jpg	2018-12-18 15:23:21
LookAtMe	1	1	1	1	2	129	46	2	1.252026664908044	True	stim\7 F080C.jpg	2018-12-18 15:23:30
LookAtMe	1	1	1	1	2	130	16	2	0.74665818142239	False	stim\1 M024C.jpg	2018-12-18 15:23:39
LookAtMe	1	1	1	1	2	131	45	3	0.5145490197464824	False	stim\morph\7&8 20.jpg	2018-12-18 15:23:47
LookAtMe	1	1	1	1	2	132	41	2	0.4914774912176654	False	stim\8 F080C + F101C.jpg	2018-12-18 15:23:56
LookAtMe	1	1	1	1	2	133	16	2	0.4891106953145936	False	stim\1 M024C.jpg	2018-12-18 15:24:05
LookAtMe	1	1	1	1	2	134	15	2	0.4194021384464577	False	stim\morph\1&2 20.jpg	2018-12-18 15:24:15
LookAtMe	1	1	1	1	2	135	41	2	0.5585112711414695	False	stim\8 F080C + F101C.jpg	2018-12-18 15:24:24
LookAtMe	1	1	1	1	2	136	13	2	0.4717204386834055	False	stim\morph\1&2 60.jpg	2018-12-18 15:24:34
LookAtMe	1	1	1	1	2	137	46	3	0.31509124650619924	False	stim\7 F080C.jpg	2018-12-18 15:24:43
LookAtMe	1	1	1	1	2	138	16	2	0.8097489038482308	True	stim\1 M024C.jpg	2018-12-18 15:24:52
LookAtMe	1	1	1	1	2	139	12	3	0.3667767585720867	False	stim\morph\1&2 80.jpg	2018-12-18 15:25:02
LookAtMe	1	1	1	1	2	140	11	3	0.27333744370844215	False	stim\2 M024C + M010C.jpg	2018-12-18 15:25:11
LookAtMe	1	1	1	1	2	141	14	3	0.6356462250696495	False	stim\morph\1&2 40.jpg	2018-12-18 15:25:20
