expName	subject	pairs	block	trial	condition	rating	rt	correct	picName	timestamp
Discrimination_LookAtMe	2	2	1	1	4	3	1.796763525926508	False	stim\6 F053C.jpg	2018-12-18 16:02:56
Discrimination_LookAtMe	2	2	1	2	3	4	3.4788364509586245	False	stim\5 F053C + F048C.jpg	2018-12-18 16:03:09
Discrimination_LookAtMe	2	2	1	3	2	1	1.4688266195589676	False	stim\4 M078C.jpg	2018-12-18 16:03:19
Discrimination_LookAtMe	2	2	1	4	1	1	0.5040947943925858	True	stim\3 M078C + M057C.jpg	2018-12-18 16:03:29
Discrimination_LookAtMe	2	2	1	5	2	2	0.853684714064002	True	stim\4 M078C.jpg	2018-12-18 16:03:39
Discrimination_LookAtMe	2	2	1	6	4	4	1.782106938189827	True	stim\6 F053C.jpg	2018-12-18 16:03:50
Discrimination_LookAtMe	2	2	1	7	3	3	0.5934906951151788	True	stim\5 F053C + F048C.jpg	2018-12-18 16:04:00
Discrimination_LookAtMe	2	2	1	8	1	1	0.7138739855727181	True	stim\3 M078C + M057C.jpg	2018-12-18 16:04:10
Discrimination_LookAtMe	2	2	1	9	3	4	0.7570213645230979	False	stim\5 F053C + F048C.jpg	2018-12-18 16:04:19
Discrimination_LookAtMe	2	2	1	10	2	1	0.5784398916875944	False	stim\4 M078C.jpg	2018-12-18 16:04:29
Discrimination_LookAtMe	2	2	1	11	1	1	0.6333398234564811	True	stim\3 M078C + M057C.jpg	2018-12-18 16:04:39
Discrimination_LookAtMe	2	2	1	12	4	4	1.0190870062215254	True	stim\6 F053C.jpg	2018-12-18 16:04:49
Discrimination_LookAtMe	2	2	1	13	1	1	1.7396683661499992	True	stim\3 M078C + M057C.jpg	2018-12-18 16:05:00
Discrimination_LookAtMe	2	2	1	14	4	4	0.7514831160660833	True	stim\6 F053C.jpg	2018-12-18 16:05:10
Discrimination_LookAtMe	2	2	1	15	2	2	0.7666153464233503	True	stim\4 M078C.jpg	2018-12-18 16:05:20
Discrimination_LookAtMe	2	2	1	16	3	4	0.6121008566115052	False	stim\5 F053C + F048C.jpg	2018-12-18 16:05:30
Discrimination_LookAtMe	2	2	1	17	4	4	0.71872415964026	True	stim\6 F053C.jpg	2018-12-18 16:05:39
Discrimination_LookAtMe	2	2	1	18	1	1	1.2388396720634773	True	stim\3 M078C + M057C.jpg	2018-12-18 16:05:50
Discrimination_LookAtMe	2	2	1	19	2	2	0.6363030509091914	True	stim\4 M078C.jpg	2018-12-18 16:06:00
Discrimination_LookAtMe	2	2	1	20	3	4	0.5141716303769499	False	stim\5 F053C + F048C.jpg	2018-12-18 16:06:09
Discrimination_LookAtMe	2	2	1	1	3	3	0.6582066554110497	True	stim\5 F053C + F048C.jpg	2018-12-18 16:08:11
Discrimination_LookAtMe	2	2	1	2	4	4	0.7962839771062136	True	stim\6 F053C.jpg	2018-12-18 16:08:21
Discrimination_LookAtMe	2	2	1	3	2	1	0.5751203078543767	False	stim\4 M078C.jpg	2018-12-18 16:08:31
Discrimination_LookAtMe	2	2	1	4	1	1	0.553232628153637	True	stim\3 M078C + M057C.jpg	2018-12-18 16:08:41
Discrimination_LookAtMe	2	2	1	5	1	1	0.5669781931210309	True	stim\3 M078C + M057C.jpg	2018-12-18 16:08:50
Discrimination_LookAtMe	2	2	1	6	2	2	0.6630925853969529	True	stim\4 M078C.jpg	2018-12-18 16:09:00
Discrimination_LookAtMe	2	2	1	7	3	3	0.5746596886310726	True	stim\5 F053C + F048C.jpg	2018-12-18 16:09:10
Discrimination_LookAtMe	2	2	1	8	4	4	0.8151345141232014	True	stim\6 F053C.jpg	2018-12-18 16:09:20
Discrimination_LookAtMe	2	2	1	9	3	3	0.637089078198187	True	stim\5 F053C + F048C.jpg	2018-12-18 16:09:29
Discrimination_LookAtMe	2	2	1	10	2	2	0.7365732326870784	True	stim\4 M078C.jpg	2018-12-18 16:09:39
Discrimination_LookAtMe	2	2	1	11	4	4	0.8246314445277676	True	stim\6 F053C.jpg	2018-12-18 16:09:49
Discrimination_LookAtMe	2	2	1	12	1	1	0.6682910032104701	True	stim\3 M078C + M057C.jpg	2018-12-18 16:09:59
Discrimination_LookAtMe	2	2	1	13	1	1	0.8100674012675881	True	stim\3 M078C + M057C.jpg	2018-12-18 16:10:09
Discrimination_LookAtMe	2	2	1	14	4	4	0.606252824421972	True	stim\6 F053C.jpg	2018-12-18 16:10:19
Discrimination_LookAtMe	2	2	1	15	2	2	0.7733344390289858	True	stim\4 M078C.jpg	2018-12-18 16:10:29
Discrimination_LookAtMe	2	2	1	16	3	3	0.5091252500424162	True	stim\5 F053C + F048C.jpg	2018-12-18 16:10:38
Discrimination_LookAtMe	2	2	1	17	3	3	0.6314648955594748	True	stim\5 F053C + F048C.jpg	2018-12-18 16:10:48
Discrimination_LookAtMe	2	2	1	18	2	2	0.6590518754674122	True	stim\4 M078C.jpg	2018-12-18 16:10:58
Discrimination_LookAtMe	2	2	1	19	4	4	0.5872655739076436	True	stim\6 F053C.jpg	2018-12-18 16:11:08
Discrimination_LookAtMe	2	2	1	20	1	1	0.6423124350840226	True	stim\3 M078C + M057C.jpg	2018-12-18 16:11:17
