expName	subject	pairs	cs1	cs2	block	trial	condition	rating	rt	shock	picName	timestamp
LookAtMe1.2	42	2	2	2	1	1	31		-99	False	stim\5 F053C + F048C.jpg	2019-02-19 10:35:21
LookAtMe1.2	42	2	2	2	1	2	36	4	0.4429054409265518	False	stim\6 F053C.jpg	2019-02-19 10:35:30
LookAtMe1.2	42	2	2	2	1	3	26	2	0.6392632741481066	False	stim\4 M078C.jpg	2019-02-19 10:35:39
LookAtMe1.2	42	2	2	2	1	4	21	3	0.8397561628371477	False	stim\3 M078C + M057C.jpg	2019-02-19 10:35:48
LookAtMe1.2	42	2	2	2	1	5	31	3	1.099380192346871	False	stim\5 F053C + F048C.jpg	2019-02-19 10:35:58
LookAtMe1.2	42	2	2	2	1	6	21	3	0.9280625618994236	False	stim\3 M078C + M057C.jpg	2019-02-19 10:36:06
LookAtMe1.2	42	2	2	2	1	7	26	1	0.8240722715854645	False	stim\4 M078C.jpg	2019-02-19 10:36:15
LookAtMe1.2	42	2	2	2	1	8	36	4	0.9132326040416956	False	stim\6 F053C.jpg	2019-02-19 10:36:25
LookAtMe1.2	42	2	2	2	1	9	21	3	1.0075411759316921	False	stim\3 M078C + M057C.jpg	2019-02-19 10:36:34
LookAtMe1.2	42	2	2	2	1	10	26	1	0.6866139164194465	False	stim\4 M078C.jpg	2019-02-19 10:36:44
LookAtMe1.2	42	2	2	2	1	11	36	4	0.8555109659209847	False	stim\6 F053C.jpg	2019-02-19 10:36:53
LookAtMe1.2	42	2	2	2	1	12	31	3	1.0513901505619287	False	stim\5 F053C + F048C.jpg	2019-02-19 10:37:02
LookAtMe1.2	42	2	2	2	1	13	26	1	0.8729877574369311	False	stim\4 M078C.jpg	2019-02-19 10:37:11
LookAtMe1.2	42	2	2	2	1	14	31	2	1.229726741090417	False	stim\5 F053C + F048C.jpg	2019-02-19 10:37:21
LookAtMe1.2	42	2	2	2	1	15	36	4	0.9661160865798593	False	stim\6 F053C.jpg	2019-02-19 10:37:30
LookAtMe1.2	42	2	2	2	1	16	21		-99	False	stim\3 M078C + M057C.jpg	2019-02-19 10:37:40
LookAtMe1.2	42	2	2	2	1	17	26	1	0.6016484340652823	True	stim\4 M078C.jpg	2019-02-19 10:37:49
LookAtMe1.2	42	2	2	2	1	18	31	2	0.9760745381936431	False	stim\5 F053C + F048C.jpg	2019-02-19 10:37:59
LookAtMe1.2	42	2	2	2	1	19	21	4	0.7378472220152617	False	stim\3 M078C + M057C.jpg	2019-02-19 10:38:08
LookAtMe1.2	42	2	2	2	1	20	36	4	0.8391029424965382	True	stim\6 F053C.jpg	2019-02-19 10:38:16
LookAtMe1.2	42	2	2	2	1	21	31	1	0.6054800171405077	False	stim\5 F053C + F048C.jpg	2019-02-19 10:38:26
LookAtMe1.2	42	2	2	2	1	22	36	4	0.719726825132966	True	stim\6 F053C.jpg	2019-02-19 10:38:36
LookAtMe1.2	42	2	2	2	1	23	26	2	1.1428331481292844	True	stim\4 M078C.jpg	2019-02-19 10:38:44
LookAtMe1.2	42	2	2	2	1	24	21	3	0.879511846229434	False	stim\3 M078C + M057C.jpg	2019-02-19 10:38:54
LookAtMe1.2	42	2	2	2	1	25	26	3	0.8101238897070289	False	stim\4 M078C.jpg	2019-02-19 10:39:02
LookAtMe1.2	42	2	2	2	1	26	36	4	-0.37111883983016014	True	stim\6 F053C.jpg	2019-02-19 10:39:10
LookAtMe1.2	42	2	2	2	1	27	31	3	0.6040536900982261	False	stim\5 F053C + F048C.jpg	2019-02-19 10:39:20
LookAtMe1.2	42	2	2	2	1	28	21	4	0.813381876796484	False	stim\3 M078C + M057C.jpg	2019-02-19 10:39:29
LookAtMe1.2	42	2	2	2	1	29	31	3	0.6430906504392624	False	stim\5 F053C + F048C.jpg	2019-02-19 10:39:38
LookAtMe1.2	42	2	2	2	1	30	21	4	0.620617956854403	False	stim\3 M078C + M057C.jpg	2019-02-19 10:39:46
LookAtMe1.2	42	2	2	2	1	31	26	2	0.6871355306357145	True	stim\4 M078C.jpg	2019-02-19 10:39:55
LookAtMe1.2	42	2	2	2	1	32	36	2	0.3528443016111851	False	stim\6 F053C.jpg	2019-02-19 10:40:05
LookAtMe1.2	42	2	2	2	1	33	21	2	0.6135683488100767	False	stim\3 M078C + M057C.jpg	2019-02-19 10:40:15
LookAtMe1.2	42	2	2	2	1	34	36	4	0.41773122921586037	True	stim\6 F053C.jpg	2019-02-19 10:40:23
LookAtMe1.2	42	2	2	2	1	35	26	3	1.5926463762298226	True	stim\4 M078C.jpg	2019-02-19 10:40:33
LookAtMe1.2	42	2	2	2	1	36	31	3	0.5364841744303703	False	stim\5 F053C + F048C.jpg	2019-02-19 10:40:43
LookAtMe1.2	42	2	2	2	1	37	36	4	0.27520365826785564	False	stim\6 F053C.jpg	2019-02-19 10:40:51
LookAtMe1.2	42	2	2	2	1	38	31	4	0.6062816698104143	False	stim\5 F053C + F048C.jpg	2019-02-19 10:41:01
LookAtMe1.2	42	2	2	2	1	39	26	3	0.6389387659728527	True	stim\4 M078C.jpg	2019-02-19 10:41:09
LookAtMe1.2	42	2	2	2	1	40	21	1	0.7954366533085704	False	stim\3 M078C + M057C.jpg	2019-02-19 10:41:19
LookAtMe1.2	42	2	2	2	1	41	26	4	0.5338697908446193	False	stim\4 M078C.jpg	2019-02-19 10:41:29
LookAtMe1.2	42	2	2	2	1	42	31	1	0.4921379219740629	False	stim\5 F053C + F048C.jpg	2019-02-19 10:41:39
LookAtMe1.2	42	2	2	2	1	43	36	4	0.3199819838628173	True	stim\6 F053C.jpg	2019-02-19 10:41:47
LookAtMe1.2	42	2	2	2	1	44	21	2	1.260688891634345	False	stim\3 M078C + M057C.jpg	2019-02-19 10:41:56
LookAtMe1.2	42	2	2	2	1	45	26	4	0.3438843097537756	True	stim\4 M078C.jpg	2019-02-19 10:42:04
LookAtMe1.2	42	2	2	2	1	46	21	1	0.8503771489486098	False	stim\3 M078C + M057C.jpg	2019-02-19 10:42:13
LookAtMe1.2	42	2	2	2	1	47	36	2	0.6759012872353196	True	stim\6 F053C.jpg	2019-02-19 10:42:23
LookAtMe1.2	42	2	2	2	1	48	31	1	0.7909178975969553	False	stim\5 F053C + F048C.jpg	2019-02-19 10:42:32
LookAtMe1.2	42	2	2	2	2	49	22	3	0.929277359507978	False	stim\morph\3&4 20.jpg	2019-02-19 10:46:01
LookAtMe1.2	42	2	2	2	2	50	26	4	0.40692875999957323	True	stim\4 M078C.jpg	2019-02-19 10:46:10
LookAtMe1.2	42	2	2	2	2	51	25	1	0.810180377215147	False	stim\morph\3&4 80.jpg	2019-02-19 10:46:19
LookAtMe1.2	42	2	2	2	2	52	24	2	0.6508151134476066	False	stim\morph\3&4 60.jpg	2019-02-19 10:46:28
LookAtMe1.2	42	2	2	2	2	53	26	3	1.5317376619204879	False	stim\4 M078C.jpg	2019-02-19 10:46:38
LookAtMe1.2	42	2	2	2	2	54	33	2	0.7165520684793591	False	stim\morph\5&6 40.jpg	2019-02-19 10:46:48
LookAtMe1.2	42	2	2	2	2	55	35	2	0.3555911909788847	False	stim\morph\5&6 80.jpg	2019-02-19 10:46:57
LookAtMe1.2	42	2	2	2	2	56	23	4	0.8603728590533137	False	stim\morph\3&4 40.jpg	2019-02-19 10:47:06
LookAtMe1.2	42	2	2	2	2	57	31	2	0.9908813610672951	False	stim\5 F053C + F048C.jpg	2019-02-19 10:47:16
LookAtMe1.2	42	2	2	2	2	58	36	5	0.625461520627141	True	stim\6 F053C.jpg	2019-02-19 10:47:25
LookAtMe1.2	42	2	2	2	2	59	21	1	0.5907224714756012	False	stim\3 M078C + M057C.jpg	2019-02-19 10:47:34
LookAtMe1.2	42	2	2	2	2	60	32	2	0.6172842504456639	False	stim\morph\5&6 20.jpg	2019-02-19 10:47:43
LookAtMe1.2	42	2	2	2	2	61	36	3	1.3220486110076308	False	stim\6 F053C.jpg	2019-02-19 10:47:52
LookAtMe1.2	42	2	2	2	2	62	34	1	0.5159080419689417	False	stim\morph\5&6 60.jpg	2019-02-19 10:48:02
LookAtMe1.2	42	2	2	2	2	63	26	3	0.8490989524871111	False	stim\4 M078C.jpg	2019-02-19 10:48:11
LookAtMe1.2	42	2	2	2	2	64	25	1	0.7749912263825536	False	stim\morph\3&4 80.jpg	2019-02-19 10:48:20
LookAtMe1.2	42	2	2	2	2	65	35	4	0.3982677347958088	False	stim\morph\5&6 80.jpg	2019-02-19 10:48:29
LookAtMe1.2	42	2	2	2	2	66	36	5	0.8272923994809389	True	stim\6 F053C.jpg	2019-02-19 10:48:37
LookAtMe1.2	42	2	2	2	2	67	23	2	0.535650972276926	False	stim\morph\3&4 40.jpg	2019-02-19 10:48:47
LookAtMe1.2	42	2	2	2	2	68	26	1	0.807497788220644	True	stim\4 M078C.jpg	2019-02-19 10:48:56
LookAtMe1.2	42	2	2	2	2	69	32	2	1.1367663741111755	False	stim\morph\5&6 20.jpg	2019-02-19 10:49:05
LookAtMe1.2	42	2	2	2	2	70	22	1	0.4823507387191057	False	stim\morph\3&4 20.jpg	2019-02-19 10:49:13
LookAtMe1.2	42	2	2	2	2	71	36	4	0.6325453827157617	False	stim\6 F053C.jpg	2019-02-19 10:49:22
LookAtMe1.2	42	2	2	2	2	72	34	3	1.2582154292613268	False	stim\morph\5&6 60.jpg	2019-02-19 10:49:31
LookAtMe1.2	42	2	2	2	2	73	31	2	0.3978200349956751	False	stim\5 F053C + F048C.jpg	2019-02-19 10:49:41
LookAtMe1.2	42	2	2	2	2	74	21	1	0.9875019835308194	False	stim\3 M078C + M057C.jpg	2019-02-19 10:49:49
LookAtMe1.2	42	2	2	2	2	75	24	4	0.8094808850437403	False	stim\morph\3&4 60.jpg	2019-02-19 10:49:58
LookAtMe1.2	42	2	2	2	2	76	33	2	1.28720049187541	False	stim\morph\5&6 40.jpg	2019-02-19 10:50:07
LookAtMe1.2	42	2	2	2	2	77	24	4	0.7047024639323354	False	stim\morph\3&4 60.jpg	2019-02-19 10:50:17
LookAtMe1.2	42	2	2	2	2	78	33	3	1.2163534574210644	False	stim\morph\5&6 40.jpg	2019-02-19 10:50:27
LookAtMe1.2	42	2	2	2	2	79	32	3	0.8595390561968088	False	stim\morph\5&6 20.jpg	2019-02-19 10:50:35
LookAtMe1.2	42	2	2	2	2	80	25	1	0.3320506298914552	False	stim\morph\3&4 80.jpg	2019-02-19 10:50:44
LookAtMe1.2	42	2	2	2	2	81	26	1	0.3141213320195675	True	stim\4 M078C.jpg	2019-02-19 10:50:52
LookAtMe1.2	42	2	2	2	2	82	23	4	0.4799283556640148	False	stim\morph\3&4 40.jpg	2019-02-19 10:51:02
LookAtMe1.2	42	2	2	2	2	83	34	2	1.0134790493175387	False	stim\morph\5&6 60.jpg	2019-02-19 10:51:11
LookAtMe1.2	42	2	2	2	2	84	36	4	1.056700042448938	False	stim\6 F053C.jpg	2019-02-19 10:51:21
LookAtMe1.2	42	2	2	2	2	85	31	1	0.5788416191935539	False	stim\5 F053C + F048C.jpg	2019-02-19 10:51:30
LookAtMe1.2	42	2	2	2	2	86	22	4	0.416936787776649	False	stim\morph\3&4 20.jpg	2019-02-19 10:51:38
LookAtMe1.2	42	2	2	2	2	87	36	5	1.4500728333368897	True	stim\6 F053C.jpg	2019-02-19 10:51:47
LookAtMe1.2	42	2	2	2	2	88	26	4	1.1851311000064015	False	stim\4 M078C.jpg	2019-02-19 10:51:55
LookAtMe1.2	42	2	2	2	2	89	35	3	0.6922353953123093	False	stim\morph\5&6 80.jpg	2019-02-19 10:52:05
LookAtMe1.2	42	2	2	2	2	90	21	1	0.5650927480310202	False	stim\3 M078C + M057C.jpg	2019-02-19 10:52:14
LookAtMe1.2	42	2	2	2	2	91	35	2	1.0905731385573745	False	stim\morph\5&6 80.jpg	2019-02-19 10:52:22
LookAtMe1.2	42	2	2	2	2	92	21	1	0.744605977088213	False	stim\3 M078C + M057C.jpg	2019-02-19 10:52:32
LookAtMe1.2	42	2	2	2	2	93	36	5	0.49284222163259983	False	stim\6 F053C.jpg	2019-02-19 10:52:41
LookAtMe1.2	42	2	2	2	2	94	32	4	0.8608211586251855	False	stim\morph\5&6 20.jpg	2019-02-19 10:52:50
LookAtMe1.2	42	2	2	2	2	95	31	2	0.8831604439765215	False	stim\5 F053C + F048C.jpg	2019-02-19 10:52:59
LookAtMe1.2	42	2	2	2	2	96	36	4	0.7161091761663556	True	stim\6 F053C.jpg	2019-02-19 10:53:09
LookAtMe1.2	42	2	2	2	2	97	25	1	0.31916350591927767	False	stim\morph\3&4 80.jpg	2019-02-19 10:53:17
LookAtMe1.2	42	2	2	2	2	98	34	3	0.7440368877723813	False	stim\morph\5&6 60.jpg	2019-02-19 10:53:27
LookAtMe1.2	42	2	2	2	2	99	26	4	0.7532066069543362	False	stim\4 M078C.jpg	2019-02-19 10:53:35
LookAtMe1.2	42	2	2	2	2	100	33	2	0.6326980208978057	False	stim\morph\5&6 40.jpg	2019-02-19 10:53:45
LookAtMe1.2	42	2	2	2	2	101	26	4	0.662758163176477	True	stim\4 M078C.jpg	2019-02-19 10:53:53
LookAtMe1.2	42	2	2	2	2	102	22	3	0.5033433204516768	False	stim\morph\3&4 20.jpg	2019-02-19 10:54:02
LookAtMe1.2	42	2	2	2	2	103	23	3	0.9856916563585401	False	stim\morph\3&4 40.jpg	2019-02-19 10:54:10
LookAtMe1.2	42	2	2	2	2	104	24	3	0.8636302445083857	False	stim\morph\3&4 60.jpg	2019-02-19 10:54:19
LookAtMe1.2	42	2	2	2	2	105	34	3	0.7652797605842352	False	stim\morph\5&6 60.jpg	2019-02-19 10:54:29
LookAtMe1.2	42	2	2	2	2	106	36	5	0.7881202287971973	False	stim\6 F053C.jpg	2019-02-19 10:54:37
LookAtMe1.2	42	2	2	2	2	107	32	4	0.759572047740221	False	stim\morph\5&6 20.jpg	2019-02-19 10:54:47
LookAtMe1.2	42	2	2	2	2	108	26	2	0.5003070794045925	True	stim\4 M078C.jpg	2019-02-19 10:54:57
